product_name,craft_category,craft_type,primary_material,crafting_time,size_complexity,artisan_region,utility_type,target_demographic,actual_price,price_range
Handwoven Bamboo Fruit Basket,Bamboo & Cane,Basketry,Bamboo,< 5 Hours,Small/Miniature,Assam,Kitchenware & Utility,Home Decor Enthusiasts,350,Budget
Intricate Bastar Dhokra Brass Bell,Metalwork & Brassware,Dhokra Casting,Pure Brass,4-7 Days,Medium/Standard,Bastar Chhattisgarh,Home Decor / Exhibition,Collectors & Art Lovers,1450,Mid-range
Handpainted Madhubani Peacock Wall Hanging,Folk Painting & Tribal Art,Madhubani Painting,Paper / Canvas,1-3 Days,Medium/Standard,Madhubani Bihar,Home Decor / Exhibition,Urban Home Decor Buyers,850,Mid-range
Terracotta Decorative Festive Diya Set,Pottery & Terracotta,Clay Pottery,Terracotta Clay,< 5 Hours,Small/Miniature,Jaipur Rajasthan,Festive & Ritual,Festive & Seasonal Buyers,250,Budget
Handloom Chanderi Silk Saree,Handloom Textiles,Chanderi Weaving,Mulberry Silk,> 1 Week,Large/Display,Chanderi MP,Wearable Fashion,Luxury & Festive Buyers,4500,Premium
Carved Sheesham Wooden Jewelry Box,Woodcraft,Wood Carving,Sheesham Wood,1-3 Days,Medium/Standard,Saharanpur UP,Home Decor / Exhibition,Gifting & Decor Buyers,950,Mid-range
Tribal Brass Dhokra Horse Figurine,Metalwork & Brassware,Dhokra Casting,Bronze/Bell Metal,4-7 Days,Large/Display,Odisha,Home Decor / Exhibition,Export & Collectors,2800,Premium
Handloom Pure Pashmina Shawl,Handloom Textiles,Pashmina Weaving,Pashmina Wool,> 1 Week,Medium/Standard,Kashmir,Wearable Fashion,Luxury & Festive Buyers,8500,Premium
Terracotta Clay Water Container Pot,Pottery & Terracotta,Clay Pottery,Terracotta Clay,< 5 Hours,Medium/Standard,Kolkata West Bengal,Kitchenware & Utility,Daily Consumer,450,Budget
Handwoven Cane Floor Lamp Shade,Bamboo & Cane,Cane Craft,Cane,1-3 Days,Large/Display,Tripura,Home Decor / Exhibition,Urban Home Decor Buyers,1650,Mid-range
Handpainted Tanjore Gold Leaf Wooden Frame,Folk Painting & Tribal Art,Tanjore Art,Wood / Gold Leaf,> 1 Week,Medium/Standard,Thanjavur Tamil Nadu,Festive & Ritual,Luxury & Festive Buyers,6200,Premium
Handcrafted Brass Peacock Tealight Holder,Metalwork & Brassware,Brass Engraving,Pure Brass,1-3 Days,Small/Miniature,Moradabad UP,Home Decor / Exhibition,Festive & Seasonal Buyers,750,Mid-range
Hand-printed Block Print Cotton Dupatta,Handloom Textiles,Block Printing,Cotton Handloom,< 5 Hours,Medium/Standard,Sanganer Rajasthan,Wearable Fashion,Daily Consumer,480,Budget
Kondapalli Hand-carved Wooden Toys Set,Woodcraft,Toy Carving,Softwood,1-3 Days,Small/Miniature,Kondapalli AP,Home Decor / Exhibition,Gifting & Decor Buyers,550,Budget
Handwoven Sabai Grass Storage Box,Bamboo & Cane,Grass Weaving,Sabai Grass,< 5 Hours,Small/Miniature,Mayurbhanj Odisha,Kitchenware & Utility,Home Decor Enthusiasts,380,Budget
Handcrafted Blue Pottery Ceramic Vase,Pottery & Terracotta,Blue Pottery,Quartz Ceramic,1-3 Days,Medium/Standard,Jaipur Rajasthan,Home Decor / Exhibition,Urban Home Decor Buyers,1200,Mid-range
Handwoven Banarasi Brocade Silk Saree,Handloom Textiles,Banarasi Weaving,Silk & Zari,> 1 Week,Large/Display,Varanasi UP,Wearable Fashion,Luxury & Festive Buyers,12500,Premium
Hand-carved Wooden Temple Mandir,Woodcraft,Architectural Carving,Teak Wood,> 1 Week,Large/Display,Rajasthan,Festive & Ritual,Luxury & Festive Buyers,9500,Premium
Terracotta Handpainted Kulhad Set,Pottery & Terracotta,Clay Pottery,Terracotta Clay,< 5 Hours,Small/Miniature,Varanasi UP,Kitchenware & Utility,Daily Consumer,220,Budget
Brass Woven Lattice Hanging Lamp,Metalwork & Brassware,Brass Sheet Craft,Pure Brass,4-7 Days,Medium/Standard,Moradabad UP,Home Decor / Exhibition,Urban Home Decor Buyers,2400,Premium
